Marca;Nombre;;Precio Und;Precio XM,Genero,Precio_Optimizado
"AFNAN;AFNAN 9 PM ELIXIR PARFUM 100 ML EDP ;NUEVO; $30.882 ; $29.882 ","Unisex","91003088229990"
"AFNAN;AFNAN 9 PM MEN EDP 150 ML ;; $34.580 ; $33.580 ","Hombre","91503458033990"
"AFNAN;AFNAN TRIBUTE HOMBRE 100 ML EDP ;; $24.924 ; $23.924 ","Hombre","1002492423990"
"AFNAN;AFNAN TURATHI ELECTRIC EDP 90 ML ;; $35.840 ; $34.840 ","Unisex","903584034990"
"Agua Brava;ANTONIO PUIG AGUA BRAVA EDC 100 ML HOMBRE ;; $13.235 ; $12.235 ","Hombre","1001323512990"
"Ajmal;AJMAL SHADOW ICE FOR HIM EDP 75 ML ;; $19.966 ; $18.966 ","Unisex","751996618990"
"Al Haramain;AL HARAMAIN AMBER OUD AQUA DUBAI EXTRAIT DE PARFUM 100 ML UNISEX ;NUEVO; $41.807 ; $40.807 ","Unisex","1004180740990"
"Al Haramain;AL HARAMAIN AMBER OUD AQUA DUBAI EXTRAIT DE PARFUM 75 ML ;NUEVO; $45.176 ; $44.176 ","Unisex","754517644990"
"Al Haramain;AL HARAMAIN AMBER OUD GOLD 100ML EDP ;; $38.454 ; $37.454 ","Unisex","1003845437990"
"Al Haramain;AL HARAMAIN AMBER OUD GOLD DUBAI 999.9 EDITION EXTRAIT DE PARFUM 100 ML ;NUEVO; $44.328 ; $43.328 ","Unisex","99991004432844000"
"Al Haramain;AL HARAMAIN AMBER OUD PRIVATE EDITION UNISEX 60 ML EDP ;; $33.412 ; $32.412 ","Unisex","603341232990"
"AL HARAMAIN;AL HARAMAIN AMBER OUD ROUGE MUJER 60ML EDP ;; $25.849 ; $24.849 ","Mujer","602584924990"
"Al Haramain;AL HARAMAIN FENCH COLLECTION BLANCHE 100 ML EDP ;; $30.891 ; $29.891 ","Unisex","1003089129990"
"AL HARAMAIN;AL HARAMAIN FRENCH COLLECTION AZURE HOMBRE 100 ML EDP ;; $25.008 ; $24.008 ","Hombre","1002500824990"
"AL HARAMAIN;AL HARAMAIN FRENCH COLLECTION DESTINO MUJER 100 ML EDP ;; $25.008 ; $24.008 ","Mujer","1002500824990"
"Al Haramain;AL HARAMAIN FRENCH COLLECTION NOIR 100 ML EDP ;; $27.529 ; $26.529 ","Unisex","1002752926990"
"AL HARAMAIN;AL HARAMAIN FRENCH COLLECTION ROUGE UNISEX 100 ML EDP ;; $27.529 ; $26.529 ","Unisex","1002752926990"
"AL HARAMAIN;AL HARAMAIN GOLD EDITION 120ML EXTRAIT DE PARFUM ;; $43.487 ; $42.487 ","Unisex","1204348742990"
"Al Haramain;AL HARAMAIN HAYATI HOMBRE 100 ML EDP ;; $20.807 ; $19.807 ","Hombre","1002080719990"
"Al Haramain;AL HARAMAIN LAVENTURE BLANCHE UNISEX 100ML EDP ;; $24.168 ; $23.168 ","Unisex","1002416823990"
"Al Haramain;AL HARAMAIN MUSK COLLECTION 100 ML EDP ;; $27.529 ; $26.529 ","Unisex","1002752926990"
"AL HARAMAIN;AL HARAMAIN MUSK MALAKI UNISEX 100 ML EDP ;; $25.008 ; $24.008 ","Unisex","1002500824990"
"AL HARAMAIN;AL HARAMAIN ROYAL MUSK 100 ML EDP ;; $25.008 ; $24.008 ","Unisex","1002500824990"
"Al Haramain;AL HARAMAIN RUBY EDITION AMBER OUD UNISEX 60ML EDP ;; $25.008 ; $24.008 ","Unisex","602500824990"
"AL HARAMAIN;AL HARAMAIN RUBY EDITION WOMAN 100ML EXTRAIT DE PARFUM ;; $34.252 ; $33.252 ","Unisex","1003425233990"
"Al Haramain;AL HARAMAIN ULTRA VIOLET MUJER 60 ML EDP ;; $36.773 ; $35.773 ","Mujer","603677335990"
"ANFAR;ANFAR DUBAI CHOCOLATE PISTACHO 80ML EDP UNISEX ;; $24.588 ; $23.588 ","Unisex","802458823990"
"ANTONIO BANDERAS;ANTONIO BANDERAS  BLUE SEDUCTION EDT MUJER 80 ML ;; $16.176 ; $15.176 ","Mujer","801617615990"
"ANTONIO BANDERAS;ANTONIO BANDERAS BLUE SEDUCTION MAN 100ML EDT ;; $15.756 ; $14.756 ","Unisex","1001575614990"
"Antonio Banderas;ANTONIO BANDERAS BLUE SEDUCTION MUJER 200ML EDT ;; $21.639 ; $20.639 ","Mujer","2002163920990"
"Antonio Banderas;ANTONIO BANDERAS KING OF SEDUCTION 100ML ;; $16.176 ; $15.176 ","Unisex","1001617615990"
"Antonio Banderas;ANTONIO BANDERAS KING OF SEDUCTION MAN 200ML EDT ;; $20.378 ; $19.378 ","Unisex","2002037819990"
"Antonio Banderas;ANTONIO BANDERAS THE ICON 100 ML EDT ;; $18.277 ; $17.277 ","Unisex","1001827717990"
"ANTONIO BANDERAS;ANTONIO BANDERAS THE ICON ELIXIR 100ML EDP ;; $20.798 ; $19.798 ","Unisex","1002079819990"
"ANTONIO BANDERAS;ANTONIO BANDERAS THE SECRET ABSOLU MUJER 80ML ;; $18.202 ; $17.202 ","Mujer","801820217990"
"Antonio Banderas;ANTONIO BANDERAS THE SECRET HOMBRE 100ML EDT ;; $17.445 ; $16.445 ","Hombre","1001744516990"
"Antonio Banderas;TESTER ANTONIO BANDERAS MEDITERRANEO 100 ML EDT ;NUEVO; $10.000 ; $9.000 ","Unisex","100100009990"
"ARD AL ZAAFARAN;ARD AL ZAAFARAN HAYAATI EDP 50 ML ;NUEVO; $6.849 ; $5.849 ","Unisex","5068495990"
"ARD AL ZAAFARAN;ARD AL ZAAFARAN QAED AL FURSAN EDP 50 ML AAZ ;NUEVO; $6.849 ; $5.849 ","Unisex","5068495990"
"Ariana Grande;ARIANA GRANDE CLOUD EAU DE PARFUM INTENSE 2.0 100ML EDP ;NUEVO; $44.916 ; $43.916 ","Unisex","201004491643990"
"ARIANA GRANDE;ARIANA GRANDE CLOUD MUJER 100ML EDP ;; $43.487 ; $42.487 ","Mujer","1004348742990"
"ARIANA GRANDE;ARIANA GRANDE CLOUD PINK 100ML EDP ;; $45.168 ; $44.168 ","Unisex","1004516844990"
"ARIANA GRANDE;ARIANA GRANDE THANK U NEXT MUJER 100ML EDP ;; $37.605 ; $36.605 ","Mujer","1003760536990"
"ARIANA GRANDE;SWEET LIKE CANDY BY ARIANA GRANDE 100ML EDP ;; $33.403 ; $32.403 ","Unisex","1003340332990"
"Ariana Grande;TESTER ARIANA GRANDE MOD BLUSH EDP 100 ML ;NUEVO; $30.882 ; $29.882 ","Unisex","1003088229990"
"Ariana Grande;TESTER ARIANA GRANDE MOD VAINILLA 100ML EDP ;NUEVO; $30.882 ; $29.882 ","Unisex","1003088229990"
"Ariana Grande;TESTER ARIANA GRANDE SWEET LIKE CANDY MUJER 100 ML EDP ;; $24.160 ; $23.160 ","Mujer","1002416023990"
"ARIANA GRANDE;TESTER CLOUD ARIANA GRANDE 100ML EDP ;; $35.924 ; $34.924 ","Unisex","1003592434990"
"ARMAF;ARMAF CLUB DE NUIT ICONIC HOMBRE 105 ML EDP ;NUEVO; $35.756 ; $34.756 ","Hombre","1053575634990"
"Armaf;ARMAF CLUB DE NUIT INTENSE MAN 105ML EDT ;NUEVO; $26.681 ; $25.681 ","Unisex","1052668125990"
"ARMAF;ARMAF CLUB DE NUIT MUJER ROSADO 105ML EDP ;NUEVO; $24.160 ; $23.160 ","Mujer","1052416023990"
"Armaf;ARMAF CLUB DE NUIT OUD PARFUM 105 ML EDP ;; $42.655 ; $41.655 ","Unisex","1054265541990"
"ARMAF;ARMAF CLUB DE NUIT UNTOLD UNISEX 105 ML EDP ;; $36.345 ; $35.345 ","Unisex","1053634535990"
